Date : 2025-11-02 16:46:58
Directory : c:\webdevelopment\Biscript\biscript
Total : 458 files,  22285 codes, 722 comments, 2341 blanks, all 25348 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\webdevelopment\Biscript\biscript\app\components\Navbar.js                            | JavaScript         |        111 |        167 |         32 |        310 |
| c:\webdevelopment\Biscript\biscript\app\components\Navbar2.js                           | JavaScript         |        158 |          6 |         12 |        176 |
| c:\webdevelopment\Biscript\biscript\app\components\ProgressBar.js                       | JavaScript         |         24 |          2 |          9 |         35 |
| c:\webdevelopment\Biscript\biscript\app\components\Terminal.js                          | JavaScript         |         33 |          3 |         10 |         46 |
| c:\webdevelopment\Biscript\biscript\app\docs\page.js                                    | JavaScript         |         18 |          0 |          4 |         22 |
| c:\webdevelopment\Biscript\biscript\app\globals.css                                     | PostCSS            |         99 |          3 |         19 |        121 |
| c:\webdevelopment\Biscript\biscript\app\home\page.js                                    | JavaScript         |         57 |          0 |          6 |         63 |
| c:\webdevelopment\Biscript\biscript\app\languages\page.js                               | JavaScript         |        106 |          0 |          8 |        114 |
| c:\webdevelopment\Biscript\biscript\app\layout.js                                       | JavaScript         |         65 |          0 |         11 |         76 |
| c:\webdevelopment\Biscript\biscript\app\login\page.js                                   | JavaScript         |         87 |          0 |         15 |        102 |
| c:\webdevelopment\Biscript\biscript\app\page.js                                         | JavaScript         |        446 |          3 |         47 |        496 |
| c:\webdevelopment\Biscript\biscript\app\profile\edit\page.js                            | JavaScript         |        319 |          4 |         35 |        358 |
| c:\webdevelopment\Biscript\biscript\app\profile\page.js                                 | JavaScript         |        298 |          1 |         35 |        334 |
| c:\webdevelopment\Biscript\biscript\app\questions\[language]\[lesson]\page.js           | JavaScript         |        122 |         11 |         17 |        150 |
| c:\webdevelopment\Biscript\biscript\app\services\addLesson.js                           | JavaScript         |         18 |          0 |          5 |         23 |
| c:\webdevelopment\Biscript\biscript\app\services\addQuestion.js                         | JavaScript         |         15 |          0 |          3 |         18 |
| c:\webdevelopment\Biscript\biscript\app\services\addScript.js                           | JavaScript         |         14 |          0 |          3 |         17 |
| c:\webdevelopment\Biscript\biscript\app\services\deserializedPlan.js                    | JavaScript         |         15 |          0 |          3 |         18 |
| c:\webdevelopment\Biscript\biscript\app\services\getBagdes.js                           | JavaScript         |         10 |          0 |          3 |         13 |
| c:\webdevelopment\Biscript\biscript\app\services\getChallengeData.js                    | JavaScript         |          8 |          0 |          3 |         11 |
| c:\webdevelopment\Biscript\biscript\app\services\getChallenges.js                       | JavaScript         |          8 |          0 |          2 |         10 |
| c:\webdevelopment\Biscript\biscript\app\services\getGoblinLines.js                      | JavaScript         |          8 |          0 |          2 |         10 |
| c:\webdevelopment\Biscript\biscript\app\services\getLessons.js                          | JavaScript         |         18 |          0 |          4 |         22 |
| c:\webdevelopment\Biscript\biscript\app\services\getQuestions.js                        | JavaScript         |         18 |          0 |          4 |         22 |
| c:\webdevelopment\Biscript\biscript\app\services\getTestCases.js                        | JavaScript         |          9 |          0 |          2 |         11 |
| c:\webdevelopment\Biscript\biscript\app\services\getUserChallenges.js                   | JavaScript         |         11 |          0 |          3 |         14 |
| c:\webdevelopment\Biscript\biscript\app\services\loginUser.js                           | JavaScript         |         15 |          0 |          4 |         19 |
| c:\webdevelopment\Biscript\biscript\app\services\performanceOptimized.js                | JavaScript         |        182 |         16 |         32 |        230 |
| c:\webdevelopment\Biscript\biscript\app\services\reactionConvertor.js                   | JavaScript         |         31 |          2 |          7 |         40 |
| c:\webdevelopment\Biscript\biscript\app\services\registerUser.js                        | JavaScript         |         43 |          4 |         10 |         57 |
| c:\webdevelopment\Biscript\biscript\app\services\updateLesson.js                        | JavaScript         |         16 |          0 |          4 |         20 |
| c:\webdevelopment\Biscript\biscript\app\services\updateProfile.js                       | JavaScript         |         41 |          0 |          7 |         48 |
| c:\webdevelopment\Biscript\biscript\app\services\updateQuestion.js                      | JavaScript         |         15 |          0 |          4 |         19 |
| c:\webdevelopment\Biscript\biscript\app\services\updateScript.js                        | JavaScript         |         14 |          0 |          3 |         17 |
| c:\webdevelopment\Biscript\biscript\app\services\waitForconvertor.js                    | JavaScript         |         24 |          1 |          5 |         30 |
| c:\webdevelopment\Biscript\biscript\app\signin\page.js                                  | JavaScript         |        117 |          4 |          9 |        130 |
| c:\webdevelopment\Biscript\biscript\app\skeleton\page.js                                | JavaScript         |         10 |          0 |          0 |         10 |
| c:\webdevelopment\Biscript\biscript\app\useClient\NavbarWrapper.js                      | JavaScript         |         12 |          0 |          4 |         16 |
| c:\webdevelopment\Biscript\biscript\app\utils\goblinMind.js                             | JavaScript         |         44 |          0 |          4 |         48 |
| c:\webdevelopment\Biscript\biscript\app\utils\optimizedSupabaseClient.js                | JavaScript         |        121 |         18 |         20 |        159 |
| c:\webdevelopment\Biscript\biscript\app\utils\supabaseClient.js                         | JavaScript         |         15 |          4 |          5 |         24 |
| c:\webdevelopment\Biscript\biscript\app\utils\supabaseServerClient.js                   | JavaScript         |          4 |          1 |          2 |          7 |
| c:\webdevelopment\Biscript\biscript\app\utils\useCodeAnalysis.js                        | JavaScript         |         33 |          1 |          5 |         39 |
| c:\webdevelopment\Biscript\biscript\eslint.config.mjs                                   | JavaScript         |         10 |          0 |          5 |         15 |
| c:\webdevelopment\Biscript\biscript\jsconfig.json                                       | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\next.config.mjs                                     | JavaScript         |         20 |          1 |          2 |         23 |
| c:\webdevelopment\Biscript\biscript\package-lock.json                                   | JSON               |      8,269 |          0 |          1 |      8,270 |
| c:\webdevelopment\Biscript\biscript\package.json                                        | JSON               |         50 |          0 |          1 |         51 |
| c:\webdevelopment\Biscript\biscript\piston-deploy.Dockerfile                            | Docker             |         11 |          4 |          7 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\.github\ISSUE_TEMPLATE\language-request.md   | Markdown           |          8 |          0 |          2 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\.github\PULL_REQUEST_TEMPLATE\package.md     | Markdown           |         10 |          0 |          2 |         12 |
| c:\webdevelopment\Biscript\biscript\piston\.github\workflows\api-push.yaml              | YAML               |         36 |          0 |          3 |         39 |
| c:\webdevelopment\Biscript\biscript\piston\.github\workflows\package-pr.yaml            | YAML               |        115 |          0 |         25 |        140 |
| c:\webdevelopment\Biscript\biscript\piston\.github\workflows\package-push.yaml          | YAML               |         70 |          0 |          8 |         78 |
| c:\webdevelopment\Biscript\biscript\piston\.github\workflows\repo-push.yaml             | YAML               |         29 |          0 |          3 |         32 |
| c:\webdevelopment\Biscript\biscript\piston\.prettierignore                              | Ignore             |         12 |          0 |          1 |         13 |
| c:\webdevelopment\Biscript\biscript\piston\.prettierrc.yaml                             | YAML               |          3 |          0 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\.readthedocs.yaml                            | YAML               |          7 |          0 |          2 |          9 |
| c:\webdevelopment\Biscript\biscript\piston\Dockerfile                                   | Docker             |          7 |          3 |          6 |         16 |
| c:\webdevelopment\Biscript\biscript\piston\api\.dockerignore                            | Ignore             |          2 |          0 |          0 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\api\Dockerfile                               | Docker             |         30 |          0 |          7 |         37 |
| c:\webdevelopment\Biscript\biscript\piston\api\package-lock.json                        | JSON               |      1,065 |          0 |          1 |      1,066 |
| c:\webdevelopment\Biscript\biscript\piston\api\package.json                             | JSON               |         20 |          0 |          1 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\api\v2.js                            | JavaScript         |        308 |          3 |         43 |        354 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\config.js                            | JavaScript         |        233 |          1 |         12 |        246 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\docker-entrypoint.sh                 | Shell Script       |         24 |          1 |          5 |         30 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\globals.js                           | JavaScript         |         82 |          1 |          2 |         85 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\index.js                             | JavaScript         |         80 |          0 |         23 |        103 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\job.js                               | JavaScript         |        402 |          3 |         42 |        447 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\package.js                           | JavaScript         |        184 |          0 |         49 |        233 |
| c:\webdevelopment\Biscript\biscript\piston\api\src\runtime.js                           | JavaScript         |        204 |          1 |         20 |        225 |
| c:\webdevelopment\Biscript\biscript\piston\builder\Dockerfile                           | Docker             |          2 |          0 |          0 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\builder\build.sh                             | Shell Script       |         42 |          5 |         18 |         65 |
| c:\webdevelopment\Biscript\biscript\piston\cli\commands\execute.js                      | JavaScript         |        239 |          1 |         27 |        267 |
| c:\webdevelopment\Biscript\biscript\piston\cli\commands\ppman.js                        | JavaScript         |          4 |          0 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\cli\commands\ppman_commands\install.js       | JavaScript         |         32 |          1 |          7 |         40 |
| c:\webdevelopment\Biscript\biscript\piston\cli\commands\ppman_commands\list.js          | JavaScript         |         20 |          0 |          6 |         26 |
| c:\webdevelopment\Biscript\biscript\piston\cli\commands\ppman_commands\spec.js          | JavaScript         |        156 |          0 |         28 |        184 |
| c:\webdevelopment\Biscript\biscript\piston\cli\commands\ppman_commands\uninstall.js     | JavaScript         |         34 |          1 |          7 |         42 |
| c:\webdevelopment\Biscript\biscript\piston\cli\index.js                                 | JavaScript         |         26 |          0 |          3 |         29 |
| c:\webdevelopment\Biscript\biscript\piston\cli\package-lock.json                        | JSON               |        526 |          0 |          1 |        527 |
| c:\webdevelopment\Biscript\biscript\piston\cli\package.json                             | JSON               |         16 |          0 |          1 |         17 |
| c:\webdevelopment\Biscript\biscript\piston\cli\test.py                                  | Python             |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\config.yaml                                  | YAML               |          2 |          1 |          1 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\docker-compose.dev.yaml                      | YAML               |         19 |          0 |          3 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\docker-compose.yaml                          | YAML               |         13 |          0 |          3 |         16 |
| c:\webdevelopment\Biscript\biscript\piston\docs\api-v2.md                               | Markdown           |        179 |          0 |         57 |        236 |
| c:\webdevelopment\Biscript\biscript\piston\docs\configuration.md                        | Markdown           |        134 |          3 |         64 |        201 |
| c:\webdevelopment\Biscript\biscript\piston\docs\index.md                                | Markdown           |          2 |          0 |          2 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\docs\requirements.txt                        | pip requirements   |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\entrypoint.sh                                | Shell Script       |          4 |          4 |          4 |         12 |
| c:\webdevelopment\Biscript\biscript\piston\mkdocs.yml                                   | YAML               |         13 |          0 |          3 |         16 |
| c:\webdevelopment\Biscript\biscript\piston\package-lock.json                            | JSON               |         32 |          0 |          1 |         33 |
| c:\webdevelopment\Biscript\biscript\piston\package.json                                 | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\CONTRIBUTING.MD                     | Markdown           |         84 |          0 |         17 |        101 |
| c:\webdevelopment\Biscript\biscript\piston\packages\MATL\22.5.0\build.sh                | Shell Script       |          4 |          3 |          2 |          9 |
| c:\webdevelopment\Biscript\biscript\piston\packages\MATL\22.5.0\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\MATL\22.7.4\build.sh                | Shell Script       |          4 |          3 |          2 |          9 |
| c:\webdevelopment\Biscript\biscript\piston\packages\MATL\22.7.4\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\Makefile                            | Makefile           |         17 |          0 |          9 |         26 |
| c:\webdevelopment\Biscript\biscript\piston\packages\README.MD                           | Markdown           |          5 |          0 |          3 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bash\5.1.0\build.sh                 | Shell Script       |         10 |          3 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bash\5.1.0\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bash\5.1.0\test.bash.sh             | Shell Script       |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bash\5.2.0\build.sh                 | Shell Script       |         10 |          3 |          7 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bash\5.2.0\metadata.json            | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bash\5.2.0\test.bash.sh             | Shell Script       |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\befunge93\0.2.0\build.sh            | Shell Script       |          5 |          5 |          5 |         15 |
| c:\webdevelopment\Biscript\biscript\piston\packages\befunge93\0.2.0\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bqn\1.0.0\build.sh                  | Shell Script       |          5 |          1 |          4 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\bqn\1.0.0\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\brachylog\1.0.0\build.sh            | Shell Script       |          8 |          6 |          6 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\brachylog\1.0.0\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\brainfuck\2.7.3\build.sh            | Shell Script       |         11 |          2 |         10 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\packages\brainfuck\2.7.3\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\cjam\0.6.5\build.sh                 | Shell Script       |          2 |          2 |          3 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\cjam\0.6.5\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\clojure\1.10.3\build.sh             | Shell Script       |         26 |          9 |          9 |         44 |
| c:\webdevelopment\Biscript\biscript\piston\packages\clojure\1.10.3\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\clojure\1.10.3\test.clj             | Clojure            |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\cobol\3.1.2\build.sh                | Shell Script       |         10 |          3 |          8 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\packages\cobol\3.1.2\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\coffeescript\2.5.1\build.sh         | Shell Script       |          5 |          3 |          3 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\coffeescript\2.5.1\metadata.json    | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\coffeescript\2.5.1\test.coffee      | CoffeeScript       |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\cow\1.0.0\build.sh                  | Shell Script       |          5 |          4 |          4 |         13 |
| c:\webdevelopment\Biscript\biscript\piston\packages\cow\1.0.0\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\crystal\1.9.2\build.sh              | Shell Script       |          4 |          1 |          3 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\crystal\1.9.2\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\2.12.1\build.sh                | Shell Script       |          6 |          1 |          5 |         12 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\2.12.1\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\2.12.1\test.dart               | Dart               |          3 |          0 |          0 |          3 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\2.19.6\build.sh                | Shell Script       |          6 |          1 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\2.19.6\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\2.19.6\test.dart               | Dart               |          3 |          0 |          0 |          3 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\3.0.1\build.sh                 | Shell Script       |          6 |          1 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\3.0.1\metadata.json            | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dart\3.0.1\test.dart                | Dart               |          3 |          0 |          0 |          3 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dash\0.5.11\build.sh                | Shell Script       |         10 |          2 |          8 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dash\0.5.11\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.16.2\build.sh                | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.16.2\metadata.json           | JSON               |         20 |          0 |          1 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.16.2\test.deno.ts            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.32.3\build.sh                | Shell Script       |          3 |          1 |          1 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.32.3\metadata.json           | JSON               |         20 |          0 |          0 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.32.3\test.deno.ts            | TypeScript         |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.7.5\build.sh                 | Shell Script       |          4 |          0 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.7.5\metadata.json            | JSON               |         14 |          0 |          1 |         15 |
| c:\webdevelopment\Biscript\biscript\piston\packages\deno\1.7.5\test.deno.ts             | TypeScript         |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dotnet\5.0.201\build.sh             | Shell Script       |          8 |          5 |          4 |         17 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dotnet\5.0.201\metadata.json        | JSON               |         66 |          0 |          1 |         67 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dotnet\5.0.201\test.cs              | C#                 |          8 |          0 |          1 |          9 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dotnet\5.0.201\test.fs              | GLSL               |          5 |          0 |          2 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dotnet\5.0.201\test.fsx             | F#                 |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dotnet\5.0.201\test.vb              | Visual Basic       |          6 |          0 |          4 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dragon\1.9.8\build.sh               | Shell Script       |         12 |          4 |         10 |         26 |
| c:\webdevelopment\Biscript\biscript\piston\packages\dragon\1.9.8\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\elixir\1.11.3\build.sh              | Shell Script       |         14 |          1 |         11 |         26 |
| c:\webdevelopment\Biscript\biscript\piston\packages\elixir\1.11.3\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\emacs\27.1.0\build.sh               | Shell Script       |         12 |          4 |          9 |         25 |
| c:\webdevelopment\Biscript\biscript\piston\packages\emacs\27.1.0\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\emojicode\1.0.2\build.sh            | Shell Script       |          8 |          0 |          8 |         16 |
| c:\webdevelopment\Biscript\biscript\piston\packages\emojicode\1.0.2\metadata.json       | JSON               |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\erlang\23.0.0\build.sh              | Shell Script       |         12 |          1 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\erlang\23.0.0\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\file\0.0.1\build.sh                 | Shell Script       |          0 |          2 |          2 |          4 |
| c:\webdevelopment\Biscript\biscript\piston\packages\file\0.0.1\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\forte\1.0.0\build.sh                | Shell Script       |          8 |          2 |          6 |         16 |
| c:\webdevelopment\Biscript\biscript\piston\packages\forte\1.0.0\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\forth\0.7.3\build.sh                | Shell Script       |          9 |          0 |          4 |         13 |
| c:\webdevelopment\Biscript\biscript\piston\packages\forth\0.7.3\metadata.json           | JSON               |          7 |          0 |          1 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\freebasic\1.8.0\build.sh            | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\freebasic\1.8.0\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\freebasic\1.8.0\test.bas            | Visual Basic       |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\freebasic\1.9.0\build.sh            | Shell Script       |          3 |          1 |          1 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\freebasic\1.9.0\metadata.json       | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\freebasic\1.9.0\test.bas            | Visual Basic       |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\gawk\5.1.0\build.sh                 | Shell Script       |         10 |          3 |          9 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\gawk\5.1.0\metadata.json            | JSON               |         10 |          0 |          1 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\gcc\10.2.0\build.sh                 | Shell Script       |         13 |          3 |         11 |         27 |
| c:\webdevelopment\Biscript\biscript\piston\packages\gcc\10.2.0\metadata.json            | JSON               |         22 |          0 |          1 |         23 |
| c:\webdevelopment\Biscript\biscript\piston\packages\gcc\10.2.0\test.c                   | C                  |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\gcc\10.2.0\test.cpp                 | C++                |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\go\1.16.2\build.sh                  | Shell Script       |          3 |          1 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\go\1.16.2\metadata.json             | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\go\1.16.2\test.go                   | Go                 |          5 |          0 |          3 |          8 |
| c:\webdevelopment\Biscript\biscript\piston\packages\golfscript\1.0.0\build.sh           | Shell Script       |          4 |          3 |          4 |         11 |
| c:\webdevelopment\Biscript\biscript\piston\packages\golfscript\1.0.0\metadata.json      | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\groovy\3.0.7\build.sh               | Shell Script       |          9 |          3 |          3 |         15 |
| c:\webdevelopment\Biscript\biscript\piston\packages\groovy\3.0.7\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\groovy\3.0.7\test.groovy            | Groovy             |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\haskell\9.0.1\build.sh              | Shell Script       |         10 |          2 |          8 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\haskell\9.0.1\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\husk\1.0.0\build.sh                 | Shell Script       |          8 |          3 |          3 |         14 |
| c:\webdevelopment\Biscript\biscript\piston\packages\husk\1.0.0\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\iverilog\11.0.0\build.sh            | Shell Script       |         12 |          1 |          5 |         18 |
| c:\webdevelopment\Biscript\biscript\piston\packages\iverilog\11.0.0\metadata.json       | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\japt\2.0.0\build.sh                 | Shell Script       |          2 |          2 |          2 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\japt\2.0.0\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\java\15.0.2\build.sh                | Shell Script       |          3 |          2 |          5 |         10 |
| c:\webdevelopment\Biscript\biscript\piston\packages\java\15.0.2\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\java\15.0.2\test.java               | Java               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\jelly\0.1.31\build.sh               | Shell Script       |          7 |          1 |          5 |         13 |
| c:\webdevelopment\Biscript\biscript\piston\packages\jelly\0.1.31\metadata.json          | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.5.4\build.sh                | Shell Script       |         11 |          5 |          6 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.5.4\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.5.4\test.jl                 | Julia              |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.6.1\build.sh                | Shell Script       |         11 |          5 |          6 |         22 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.6.1\metadata.json           | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.6.1\test.jl                 | Julia              |          1 |          0 |          1 |          2 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.8.5\build.sh                | Shell Script       |         11 |          5 |          5 |         21 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.8.5\metadata.json           | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\julia\1.8.5\test.jl                 | Julia              |          1 |          0 |          0 |          1 |
| c:\webdevelopment\Biscript\biscript\piston\packages\kotlin\1.4.31\build.sh              | Shell Script       |          8 |          3 |          3 |         14 |
| c:\webdevelopment\Biscript\biscript\piston\packages\kotlin\1.4.31\metadata.json         | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\kotlin\1.8.20\build.sh              | Shell Script       |          8 |          3 |          2 |         13 |
| c:\webdevelopment\Biscript\biscript\piston\packages\kotlin\1.8.20\metadata.json         | JSON               |          5 |          0 |          0 |          5 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lisp\2.1.2\build.sh                 | Shell Script       |          9 |          3 |          8 |         20 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lisp\2.1.2\metadata.json            | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\llvm_ir\12.0.1\build.sh             | Shell Script       |          3 |          1 |          3 |          7 |
| c:\webdevelopment\Biscript\biscript\piston\packages\llvm_ir\12.0.1\metadata.json        | JSON               |          5 |          0 |          1 |          6 |
| c:\webdevelopment\Biscript\biscript\piston\packages\lolcode\0.11.2\build.sh             | Shell Script       |          9 |          4 |          6 |         19 |
